Nombre Completo;Grupos;Técnico a cargo;Visible en la interfaz del Helpdesk;Visible para una solicitud;Visible para un incidente;Visible para un problema;Visible para un cambio;ID;Código que representa la categoría del caso
MDH > Problemas de Asociación de Documentos LPCO > Problemas en el módulo LPCO al aprobar un permiso  (Usuario: DGT - Estadística y Registro  o Aduanas);;;Si;No;Si;Si;Si;;
MDH > Problemas de Asociación de Documentos LPCO > Problemas en el módulo LPCO con el registro del permiso por parte del ente emisor.  (Ejemplo Ministerio de Seguridad, OFINASE, que no usan ninguna plataforma);;;Si;No;Si;Si;Si;;
MDH > Problemas de Asociación de Documentos LPCO > Escalabilidad: Se determina problemas en la digitación del permiso aprobado en el módulo LPCO por parte del ente emisor.  (Ejemplo Ministerio de Seguridad, OFINASE);;;Si;No;Si;Si;Si;;
MDH > Problemas de Asociación de Documentos LPCO > Escalabilidad: Se detecta que el problema de interoperabilidad esta del lado de las instituciones y no del Consorcio;;;Si;No;Si;Si;Si;;
MDH > Problemas de Acceso > Solicitud y asignación de Perfil de Acceso;;;Si;Si;No;Si;Si;;
MDH > Problemas de Asociación de Documentos LPCO > Permiso solicitado en el módulo LPCO pendiente de aprobación por autoridad Aduanera;;;Si;No;Si;Si;Si;;
MDH > Problemas de Asociación de Documentos LPCO > Escalabilidad: Se determina que documento de identidad no esta registrado en ATENA;;;Si;No;Si;Si;Si;;
MDH > Problemas de Asociación de Documentos LPCO > Escalabilidad: Se determina que el problema le corresponde resolverlo a la DTIC;;;Si;No;Si;Si;Si;;
MDH > Problemas de Pago > Problemas con el envío, respuesta o visualización del  pago;;;Si;No;Si;Si;Si;;
MDH > Problemas de Pago > Problemas de anulación del DUA;;;Si;No;Si;Si;Si;;
MDH > Problemas de Pago > Problemas con la cuenta bancaria;;;Si;No;Si;Si;Si;;
MDH > Problemas de Pago > Problemas para registrar la cuenta bancaria de un usuario en ATENA;;;Si;No;Si;Si;Si;;
MDH > Problemas de Pago > Escalamiento: Requiere registrar la cuenta bancaria a un usuario;;;Si;No;Si;Si;Si;;
MDH > Problemas de Pago > Escalamiento al Banco Central para validación técnica hasta conseguir la solución;;;Si;No;Si;Si;Si;;
